City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Filadelfia,US,39.9523,-75.1638,24.01,53,24,6.53,few clouds
79,Yaan,NG,7.3833,8.5667,74.34,21,4,4.68,clear sky
80,Athabasca,CA,54.7169,-113.2854,27.79,84,75,13.58,broken clouds
81,Mahebourg,MU,-20.4081,57.7,71.26,88,40,4.61,scattered clouds
82,Benghazi,LY,32.1167,20.0667,54.55,61,100,15.59,overcast clouds
83,Hasaki,JP,35.7333,140.8333,52.29,58,89,11.16,overcast clouds
84,Newton,US,42.337,-71.2092,18.55,44,2,4.0,clear sky
85,Laguna,US,38.421,-121.4238,57.38,58,0,1.01,clear sky
86,Pundaguitan,PH,6.3711,126.1689,81.03,79,98,10.31,overcast clouds
87,Savannah Bight,HN,16.45,-85.85,77.0,72,1,12.21,clear sky
88,Margate,GB,51.3813,1.3862,42.96,82,96,5.01,overcast clouds
89,Privolzhsk,RU,57.3808,41.2886,-4.7,100,100,2.62,light snow
90,Necochea,AR,-38.5473,-58.7368,62.04,57,0,14.54,clear sky
91,Saint-Francois,FR,46.4154,3.9054,26.67,93,100,0.0,mist
92,Airai,TL,-8.9266,125.4092,72.48,64,89,5.61,overcast clouds
93,Carutapera,BR,-1.195,-46.02,75.49,92,100,5.03,heavy intensity rain
94,Laiyang,CN,36.9758,120.7136,33.19,46,86,10.38,overcast clouds
95,Xingtai,CN,37.0631,114.4942,32.14,56,95,4.43,light snow
96,Bredasdorp,ZA,-34.5322,20.0403,63.28,93,20,4.32,few clouds
97,Constitucion,CL,-35.3333,-72.4167,57.58,95,8,5.88,clear sky
98,Inta,RU,66.0317,60.1659,12.06,96,100,6.06,overcast clouds
99,Kavieng,PG,-2.5744,150.7967,84.0,75,91,8.93,light rain
100,Sambava,MG,-14.2667,50.1667,73.06,86,17,7.65,few clouds
101,Kalga,RU,50.9251,118.898,-7.19,95,40,0.54,scattered clouds
102,Yanam,IN,16.7333,82.2167,72.0,88,41,3.18,scattered clouds
103,Dondo,MZ,-19.6094,34.7431,73.45,96,100,5.39,light rain
104,La Ronge,CA,55.1001,-105.2842,8.85,66,100,11.5,overcast clouds
105,Codrington,AU,-38.2667,141.9667,91.87,42,26,9.8,scattered clouds
106,Ponta Do Sol,PT,32.6667,-17.1,59.72,74,51,5.61,broken clouds
107,Tara,RU,56.8944,74.371,-4.67,100,100,5.17,overcast clouds
108,Vaini,TO,-21.2,-175.2,81.21,73,99,8.46,overcast clouds
109,Mayumba,GA,-3.432,10.6554,76.1,88,70,2.66,broken clouds
110,Mandalgovi,MN,45.7625,106.2708,1.63,75,2,6.17,clear sky
111,East London,ZA,-33.0153,27.9116,72.61,92,28,2.73,scattered clouds
112,Puerto Ayora,EC,-0.7393,-90.3518,73.36,90,100,6.46,overcast clouds
113,Sarkand,KZ,45.41,79.9186,17.13,68,100,6.53,overcast clouds
114,Russell,US,32.3502,-85.1999,46.0,49,0,5.75,clear sky
115,Taucha,DE,51.3833,12.4833,37.62,92,75,14.97,broken clouds
116,Yeppoon,AU,-23.1333,150.7333,89.38,70,99,15.3,overcast clouds
117,Narsaq,GL,60.9167,-46.05,23.22,67,99,17.92,overcast clouds
118,Provideniya,RU,64.3833,-173.3,-2.09,71,75,6.71,broken clouds
119,Nikolskoye,RU,59.7035,30.7861,25.88,92,100,10.71,snow
120,Port Blair,IN,11.6667,92.75,80.64,74,40,6.91,scattered clouds
